QUOTE_CONVERSION;SERVICE_NOTIFICATION;ORDER;CUSTOMER;QUANTITY;DESCRIPTION;QUOTE_COUNT;CUSTOMER_SALES_SHARE;COUNTRY_SALES_SHARE;PRICE_DEV_QU;PRIMARY_PRODUCT_SALES;SEGMENT;CONCERN;KEY_ACCOUNT;COUNTRY;COUNTRY_CLUSTERED
Success;449;221;93;0;SP;1;0,002612594;0,023240521;1,037592682;0,491888889;Rendering;1;1;NO;Other
Success;450;222;93;0;SP;1;0,002612594;0,023240521;0,909914807;0,906735751;Rendering;1;1;NO;Other
Failure;451;;94;1;SP;1;0,003576347;0,24288004;0,935767221;0,85629336;Rendering;0;0;DE;DE
Success;452;223;94;1;SP;1;0,003576347;0,24288004;0,896938568;0,522303129;Rendering;0;0;DE;DE
Failure;453;;95;1;SV;1;0,001553195;0,24288004;1,30225498;0,312007132;Rendering;0;0;DE;DE
Success;454;224;92;2;SP;1;0,008000777;0,149340658;1,020801016;1;Oilseed;1;0;FR;FR
Success;455;;96;175;SV;1;0,004160797;0,24288004;0,824055682;0,762268002;Rendering;0;0;DE;DE
Success;456;225;96;1;SV;1;0,004160797;0,24288004;1,123224929;0,822897513;Rendering;0;0;DE;DE
Success;457;226;96;0;SV;1;0,004160797;0,24288004;1,067429038;1;Rendering;0;0;DE;DE
Failure;458;;96;44;SV;1;0,004160797;0,24288004;1,082123704;0,362890469;Rendering;0;0;DE;DE
Success;459;;96;1;SV;1;0,004160797;0,24288004;1,12294595;0,871642775;Rendering;0;0;DE;DE
Success;460;227;96;1;SV;2;0,004160797;0,24288004;1,090913598;0,65069976;Rendering;0;0;DE;DE
Failure;461;;92;1;SP;1;0,008000777;0,149340658;1,061747477;0,997638094;Oilseed;1;0;FR;FR
Success;462;228;43;0;SP;1;0,013369167;0,24288004;0,87787105;0,922760644;Rendering;1;1;DE;DE
Success;463;229;43;0;SP;1;0,013369167;0,24288004;1,013242909;0,99795965;Rendering;1;1;DE;DE
Success;464;230;43;0;SP;1;0,013369167;0,24288004;0,897699682;0,807113785;Rendering;1;1;DE;DE
Success;465;231;79;0;SP;1;0,006330976;0,149340658;0,814363301;1;Rendering;1;1;FR;FR
Success;466;232;79;1;SP;2;0,006330976;0,149340658;1;0,925071618;Rendering;1;1;FR;FR
Failure;467;;92;1;SP;1;0,008000777;0,149340658;1,109040356;0,962962963;Oilseed;1;0;FR;FR
Failure;468;;92;1;SP;1;0,008000777;0,149340658;0,993003301;0,501331811;Oilseed;1;0;FR;FR
Success;469;;92;5;SP;1;0,008000777;0,149340658;0,834054585;1;Oilseed;1;0;FR;FR
Success;470;233;92;0;SP;1;0,008000777;0,149340658;2,002063336;1;Oilseed;1;0;FR;FR
Failure;471;;97;50;SP;1;0,008354832;0,01187804;0,972946937;0,362145858;Oilseed;1;0;ES;Other
Success;472;234;98;1;SP;1;0,003216046;0,24288004;0,948222883;0,557020035;Rendering;0;0;DE;DE
Failure;473;;98;42;SP;1;0,003216046;0,24288004;0,899828497;0,485171518;Rendering;0;0;DE;DE
Success;474;235;98;1;SP;1;0,003216046;0,24288004;1,730377944;1;Rendering;0;0;DE;DE
Success;475;236;98;0;SP;1;0,003216046;0,24288004;0,735941669;1;Rendering;0;0;DE;DE
Success;476;;98;300;SP;1;0,003216046;0,24288004;0,907242295;0,866636034;Rendering;0;0;DE;DE
Success;477;237;68;0;SP;1;0,004581255;0,24288004;0,878067812;0,823767626;Rendering;1;1;DE;DE
Success;478;;68;1;SP;1;0,004581255;0,24288004;1,207159215;0,948237394;Rendering;1;1;DE;DE
Success;479;;68;6;SP;1;0,004581255;0,24288004;0,954450489;0,903361345;Rendering;1;1;DE;DE
Success;480;;68;1;SP;1;0,004581255;0,24288004;0,938104562;0,57014581;Rendering;1;1;DE;DE
Success;481;238;78;0;SP;1;0,003002838;0,24288004;0,761607665;1;Rendering;0;0;DE;DE
Failure;482;;72;1;SP;1;0,011354609;0,149340658;1,110478735;0,742206235;Rendering;1;1;FR;FR
Success;483;;72;1;SP;1;0,011354609;0,149340658;1,170622707;0,48995653;Rendering;1;1;FR;FR
Failure;484;;72;1;SP;1;0,011354609;0,149340658;0,974379694;0,997637972;Rendering;1;1;FR;FR
Success;485;239;94;0;Other;1;0,003576347;0,24288004;1;1;Rendering;0;0;DE;DE
Failure;486;;99;1;SP;1;0,000396993;0,149340658;0,98614797;0,722991387;Rendering;0;0;FR;FR
Failure;487;;99;1;SP;1;0,000396993;0,149340658;1,148184168;1;Rendering;0;0;FR;FR
Failure;488;;100;42;SP;1;0,002854899;0,021779501;1,030351766;0,27718358;Rendering;0;0;AU;Other
Failure;489;;100;100;SP;1;0,002854899;0,021779501;0,917470705;0,469320658;Rendering;0;0;AU;Other
Success;490;240;101;2;SP;1;0,000187275;0,000187275;0,900993645;0,875634097;Rendering;0;0;TH;Other
Failure;491;;72;1;SP;1;0,011354609;0,149340658;1,079906589;0,630523437;Rendering;1;1;FR;FR
Failure;492;;102;50;SP;1;0,013634043;0,023240521;0,960579723;0,370493868;Rendering;1;1;NO;Other
Failure;493;;84;1;SP;1;0,00774271;0,015798616;0,911769706;1;Oilseed;1;1;CZ;Other
Success;494;241;84;0;SP;1;0,00774271;0,015798616;0,911769706;1;Oilseed;1;1;CZ;Other
Success;495;242;84;0;SP;1;0,00774271;0,015798616;1,292147531;1;Oilseed;1;1;CZ;Other
Failure;496;;34;36;SP;1;0,032574028;0,037934649;0,745302078;0,305679128;Oilseed;0;0;RU;RU
Failure;497;;34;96;SP;1;0,032574028;0,037934649;0,950666259;0,280439787;Oilseed;0;0;RU;RU
